"id","code","name","xendit_code","created_at","updated_at"
"00010bf4-a2ed-4314-8ad7-c395776c8f31","MESTIKA_DHARMA","Bank Mestika Dharma","MESTIKA_DHARMA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00010fcb-4531-41c1-8f51-2c59439f3910","MITRA_NIAGA","Bank Mitra Niaga","MITRA_NIAGA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000116ec-c5d8-4827-84a9-686e1cf0439f","MIZUHO","Bank Mizuho Indonesia","MIZUHO","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00012bf2-a882-4ed6-8ea1-99f78838fbf9","MUAMALAT","Bank Muamalat Indonesia","MUAMALAT","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001356f-27a7-40bc-a873-c9ae11aeb49f","NATIONALNOBU","Bank Nationalnobu","NATIONALNOBU","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001387b-7895-4a73-8a88-99acf32be91a","BNI","Bank Negara Indonesia (BNI)","BNI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00014045-92d5-4922-993d-3a7884837914","NUSANTARA_PARAHYANGAN","Bank Nusantara Parahyangan","NUSANTARA_PARAHYANGAN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00014833-502f-4360-973b-e78d8353751c","OCBC","Bank OCBC NISP","OCBC","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001496a-4657-420c-9191-a0861d0a5672","OCBC_UUS","Bank OCBC NISP UUS","OCBC_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000153fd-aae2-4bdd-83e4-9bb1deaf1e6f","BAML","Bank of America Merill-Lynch","BAML","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00015a8b-b044-4337-b763-41773af35b4a","BOC","Bank of China (BOC)","BOC","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000168d5-3605-4339-a167-26fbed50d999","TOKYO","Bank of Tokyo Mitsubishi UFJ","TOKYO","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00016d53-49bb-4754-ad08-ab4d4f6ab252","PANIN","Bank Panin","PANIN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000184e5-c93a-4468-be6d-c0be6bedcd0a","PANIN_SYR","Bank Panin Syariah","PANIN_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"00018d35-50ab-4197-92a8-7faaf7bd75ff","PERMATA","Bank Permata","PERMATA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000190aa-e4fb-4d48-969a-102bf375c5df","PERMATA_UUS","Bank Permata UUS","PERMATA_UUS","7-10-2019 14:41:13","7-10-2019 14:41:13"
"000191a5-17a4-4357-8c4b-bdfa1bc3e7f3","RABOBANK","Bank Rabobank International Indonesia","RABOBANK","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001b2c1-55fe-4fc5-8f10-0702905f1208","RESONA","Bank Resona Perdania","RESONA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001bb8c-5254-47a2-8c2e-49b4ca66cf91","ROYAL","Bank Royal Indonesia","ROYAL","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001cd18-04a4-4820-9513-79041faf646d","SBI_INDONESIA","Bank SBI Indonesia","SBI_INDONESIA","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001cd5b-07d8-4240-97bd-768e22dd2c76","SHINHAN","Bank Shinhan Indonesia (formerly Bank Metro Express)","SHINHAN","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001d25e-f68e-43a2-a1f5-d6e362044616","MITSUI","Bank Sumitomo Mitsui Indonesia","MITSUI","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001d92e-cbcf-4edf-9ca5-41431765c095","BRI_SYR","Bank Syariah BRI","BRI_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001dfff-72e0-4fbd-9ef4-92263e56cd51","BUKOPIN_SYR","Bank Syariah Bukopin","BUKOPIN_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
"0001f965-faae-42cf-8d75-e160888cbd09","MANDIRI_SYR","Bank Syariah Mandiri","MANDIRI_SYR","7-10-2019 14:41:13","7-10-2019 14:41:13"
